,name,taste,url,timestamp,retailer,label,roastlevel,Weight250,curreny,price250,Weight1000,price1000,typ,origin_list,country1,country2,country3,country4,country5,roastlevel_cat,Süsse,Bitterkeit,Blumig,Fruchtig,Nussig,Würzig,Röstartig,Körper,Abgang,Säure
40,Apas Fairtrade,"Muskat, Bitterschokolade, süsslich",https://www.rastshop.ch/de/kaffee/apas-fairtrade,2022-12-09 08:41:23.611791+00:00,Rast Kaffee,"Direct Trade, Fairtrade",55.0,250,CHF,7.80,1000,28.90,Einzelsorte,Brasilien,Brasilien,,,,,3,4,2,3,0,2,4,3,3,4,2
41,Taioba,"Bitterschokolade, Lebkuchen, Karamell, Kandis",https://www.rastshop.ch/de/kaffee/taioba,2022-12-09 08:41:23.620334+00:00,Rast Kaffee,Parzellenkaffee,52.5,250,CHF,9.80,1000,36.90,Einzelsorte,Brasilien,Brasilien,,,,,3,5,0,4,5,2,0,1,5,4,3
42,Yellow Bourbon,"Honig, Baumnuss",https://www.rastshop.ch/de/kaffee/yellow-bourbon-fazenda-samambaia,2022-12-09 08:41:23.628405+00:00,Rast Kaffee,Direct Trade,48.75,250,CHF,8.00,1000,29.90,Einzelsorte,Brasilien,Brasilien,,,,,3,5,2,3,3,5,3,2,3,4,1
43,El Palto BIO Fairtrade,"Schokolade, Bittermandel",https://www.rastshop.ch/de/kaffee/el-palto-bio-fairtrade,2022-12-09 08:41:23.636480+00:00,Rast Kaffee,"Bio, Direct Trade, Fairtrade",50.0,250,CHF,8.00,1000,29.90,Einzelsorte,Peru,Peru,,,,,3,3,2,0,2,4,3,2,4,4,3
44,Vilcabamba,dunkle Schokolade,https://www.rastshop.ch/de/kaffee/vilcabamba,2022-12-09 08:41:23.644178+00:00,Rast Kaffee,NaN,50.0,250,CHF,9.30,1000,34.90,Einzelsorte,Ecuador,Ecuador,,,,,3,2,2,0,2,2,4,3,3,3,2
45,Pink Bourbon,"Baumnuss, Lakritze",https://www.rastshop.ch/de/kaffee/pink-bourbon,2022-12-09 08:41:23.652215+00:00,Rast Kaffee,NaN,53.75,250,CHF,10.30,1000,38.90,Einzelsorte,Kolumbien,Kolumbien,,,,,3,3,2,1,3,4,3,2,3,3,2
46,Guji BIO,"Orange, leichte Schokoladennote",https://www.rastshop.ch/de/kaffee/guji,2022-12-09 08:41:23.714948+00:00,Rast Kaffee,Bio,31.25,250,CHF,8.00,1000,29.90,Einzelsorte,Äthiopien,Äthiopien,,,,,2,5,0,5,4,1,1,0,4,3,4
47,Yirga Cheffe BIO,"Limettenzeste, Pfirsich, Lakritze",https://www.rastshop.ch/de/kaffee/yirga-cheffe-bio,2022-12-09 08:41:23.728800+00:00,Rast Kaffee,Bio,31.25,250,CHF,9.30,1000,34.90,Einzelsorte,Äthiopien,Äthiopien,,,,,2,4,0,4,5,1,1,0,3,4,5
48,Limu,"Aprikose, tropische Früchte, Schwarztee",https://www.rastshop.ch/de/kaffee/limu,2022-12-09 08:41:23.736897+00:00,Rast Kaffee,NaN,18.75,250,CHF,7.80,1000,28.90,Einzelsorte,Äthiopien,Äthiopien,,,,,1,5,0,4,5,0,0,0,3,3,4
49,Nyeri,"Grapefruit, Cassis",https://www.rastshop.ch/de/kaffee/nyeri-kenia,2022-12-09 08:41:23.744669+00:00,Rast Kaffee,NaN,46.25,250,CHF,9.50,1000,35.90,Einzelsorte,Kenia,Kenia,,,,,3,3,1,4,5,2,1,0,4,4,5
