,name,url,price250g,price1000g,blend/country,aroma,coffee_roastlevel,labels,chartjs data
26,{'Antigua'},{'url': 'https://www.rastshop.ch/de/kaffee/antigua-la-ceiba'},250 g à CHF 7.50,1 kg à CHF 27.90,{'Einzelsorte\nGuatemala'},"Haselnuss, Bitterschokolade",right: 56.25%;,['Label Rainforest'],"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [2,2,0,2,2,5,2,3,4,2];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
27,{'Herminio Bio'},{'url': 'https://www.rastshop.ch/de/kaffee/herminio-bio'},250 g à CHF 7.50,1 kg à CHF 27.90,{'Einzelsorte\nGuatemala'},"Zitrus, Früchtetee, Nussschokolade",right: 50%;,NaN,"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [3,1,2,3,3,2,2,2,3,4];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
28,{'Blue Mountain'},{'url': 'https://www.rastshop.ch/de/kaffee/blue-mountain-wallenford-estate'},250 g à CHF 39.50,1 kg à CHF 27.90,{'Einzelsorte\nJamaika'},"Erdnuss, Haselnuss, Karamell, Schokolade",right: 41.25%;,[],"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [5,1,3,3,3,0,1,3,3,2];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
29,{'Iglesia'},{'url': 'https://www.rastshop.ch/de/kaffee/iglesia-finca-hamburgo'},250 g à CHF 11.80,1 kg à CHF 27.90,{'Einzelsorte\nMexiko'},"Limette, Assam-Tee, Mandel, Walnuss",right: 45%;,NaN,"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [4,2,3,0,2,4,3,3,4,2];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
30,{'Xochiltepec'},{'url': 'https://www.rastshop.ch/de/kaffee/xochiltepec'},250 g à CHF 7.50,1 kg à CHF 27.90,{'Einzelsorte\nMexiko'},"Mandel, Schokolade, rote Beeren",right: 51.25%;,[],"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [5,2,3,3,5,3,2,3,4,1];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
31,{'Comsa Fairtrade'},{'url': 'https://www.rastshop.ch/de/kaffee/comsa-fairtrade'},250 g à CHF 7.00,1 kg à CHF 27.90,{'Einzelsorte\nHonduras'},"Orange, Tabak, Baumnuss",right: 50%;,NaN,"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [3,2,0,2,4,3,2,4,4,3];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
32,{'Geisha natural'},{'url': 'https://www.rastshop.ch/de/kaffee/geisha-natural'},250 g à CHF 36.50,1 kg à CHF 27.90,{'Einzelsorte\nPanama'},"Pflaume, Mango, Ananas",right: 50%;,[],"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [2,2,0,2,2,4,3,3,3,2];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
33,{'Geisha washed'},{'url': 'https://www.rastshop.ch/de/kaffee/geisha-washed'},250 g à CHF 36.50,1 kg à CHF 144.00,{'Einzelsorte\nPanama'},"Bergamotte, Jasmin, Honig, Apfel",right: 46.25%;,NaN,"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [3,2,1,3,4,3,2,3,3,2];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
34,{'Bahareque Fairtrade'},{'url': 'https://www.rastshop.ch/de/kaffee/bahareque-fairtrade'},250 g à CHF 7.30,1 kg à CHF 26.90,{'Einzelsorte\nKolumbien'},"nussig, Schokolade, Pfirsich",right: 68.75%;,[],"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [5,0,5,4,1,1,0,4,3,4];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
35,{'Vista Alegre'},{'url': 'https://www.rastshop.ch/de/kaffee/fazenda-vista-alegre'},250 g à CHF 7.00,1 kg à CHF 25.90,{'Einzelsorte\nBrasilien'},"Steinobst, Haselnuss, Honig",right: 68.75%;,NaN,"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [4,0,4,5,1,1,0,3,4,5];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
36,{'Apas Fairtrade'},{'url': 'https://www.rastshop.ch/de/kaffee/apas-fairtrade'},250 g à CHF 7.00,1 kg à CHF 25.90,{'Einzelsorte\nBrasilien'},"Muskat, Bitterschokolade, süsslich",right: 81.25%;,[],"{'\n        // ============================================================\n        // taste chart js\n        (function() {\n            // cart data\n            var chartdata =  [5,0,4,5,0,0,0,3,3,4];\n            // data\n            var data = {\n                labels: ["""", """", """", """", """", """", """", """", """", """"],\n                datasets: [{\n                    data: chartdata,\n                    borderWidth: 0,\n                    borderColor: ""transparent"",\n                }]\n            };\n            // options\n            var options = {\n                aspectRatio: 1,\n                animation: false,\n                scale: {\n                    angleLines: {\n                        display: false,\n                    },\n                    gridLines:{\n                        display: true,\n                        color: ""#BBB4A4""\n                    },\n                    ticks: {\n                        display: false,\n                        suggestedMin: -1,\n                        suggestedMax: 5\n                    },\n                    pointLabels: {\n                        fontColor: ""#1b1717"",\n                        fontSize: 12\n                    },\n                },\n                elements:{\n                    line: {\n                        backgroundColor: ""rgba(185, 174, 142, 0.3)"",\n                    },\n                    point: {\n                        radius: 5,\n                        hoverRadius: 5,\n                        backgroundColor: ""#000000"",\n                        hoverBackgroundColor: ""#C76A15"",\n                    }\n                },\n                tooltips:{\n                    titleMarginBottom: 0,\n                    callbacks: {\n                        title: function(tooltipItem, data) {\n                            return tooltipItem[0].value;\n                        },\n                        label: function(tooltipItem, data) {\n                            return """";\n                        }\n                    },\n                },\n                legend: {\n                    display: false,\n                },\n                dragData: true,\n                dragX: false,\n                dragDataRound: 0,\n                dragOptions: {\n                    showTooltip: true\n                },\n                onDrag: function (e, datasetIndex, index, value) {\n                    if(value < 0){\n                        e.preventDefault();\n                        return false;\n                    }\n                },\n                onDragEnd: function (e, datasetIndex, index, value) {\n                    // on drag end\n                }\n                , animationSteps: 300\n                , scaleFontSize: 16\n                , pointLabelFontSize: 14\n                , tooltipFontSize: 12\n                , tooltipTitleFontSize: 12\n                , pointDotRadius: 1\n                , pointLabelFontFamily: ""proxima-nova""\n            };\n            // create chart\n            var ctx = $(""[data-taste-chart]"");\n            if (ctx.length > 0) {\n                if ($(""[data-taste-chart]"").attr(""data-taste-chart-nodrag"") === ""true"") {\n                    options.dragData = false;\n                }\n                var radarChart = new Chart(ctx, {\n                    type: ""radar"",\n                    data: data,\n                    options: options\n                });\n            }\n        })();\n    '}"
